0,0,0,0,Good,0,0,0,0,0,0,4,0,0,NNP,0,0,,
1,0,0,0,day,1,5,1,5,1,5,3,0,0,NN,0,0,,
2,0,0,0,",",2,9,2,9,2,9,1,0,0,",",0,0,,
3,0,0,0,everyone,3,11,3,11,3,11,8,0,0,NN,0,0,,
4,0,0,0,.,4,20,4,20,4,20,1,0,0,.,0,0,,
5,1,0,0,We,0,0,5,22,5,22,2,0,0,PRP,0,0,,
6,1,0,0,will,1,3,6,25,6,25,4,0,0,MD,0,0,,
7,1,0,0,now,2,8,7,30,7,30,3,0,0,RB,0,0,,
8,1,0,0,begin,3,12,8,34,8,34,5,0,0,VB,0,0,,
9,1,0,0,our,4,18,9,40,9,40,3,0,0,PRP$,0,0,,
10,1,0,0,conference,5,22,10,44,10,44,10,0,0,NN,0,0,,
11,1,0,0,.,6,33,11,55,11,55,1,0,0,.,0,0,,
12,2,0,0,I,0,0,12,57,12,57,1,0,0,PRP,0,0,,
13,2,0,0,would,1,2,13,59,13,59,5,0,0,MD,0,0,,
14,2,0,0,like,2,8,14,65,14,65,4,0,0,VB,0,0,,
15,2,0,0,to,3,13,15,70,15,70,2,0,0,TO,0,0,,
16,2,0,0,turn,4,16,16,73,16,73,4,0,0,VB,0,0,,
17,2,0,0,the,5,21,17,78,17,78,3,0,0,DT,0,0,,
18,2,0,0,conference,6,25,18,82,18,82,10,0,0,NN,0,0,,
19,2,0,0,over,7,36,19,93,19,93,4,0,0,IN,0,0,,
20,2,0,0,to,8,41,20,98,20,98,2,0,0,TO,0,0,,
21,2,0,0,our,9,44,21,101,21,101,3,0,0,PRP$,0,0,,
22,2,0,0,moderator,10,48,22,105,22,105,9,0,0,NN,0,0,,
23,2,0,0,",",11,58,23,115,23,115,1,0,0,",",0,0,,
24,2,0,0,Mr,12,60,24,117,24,117,2,0,0,NNP,0,0,,
25,2,0,0,.,13,63,25,120,25,120,1,0,0,.,0,0,,
26,3,0,0,SY,0,0,26,122,26,122,2,0,0,NNP,0,0,,
27,3,0,0,Chung,1,3,27,125,27,125,5,0,0,NNP,0,0,,
28,3,0,0,of,2,9,28,131,28,131,2,0,0,IN,0,0,,
29,3,0,0,Daiwa,3,12,29,134,29,134,5,0,0,NNP,0,0,,
30,3,0,0,Capital,4,18,30,140,30,140,7,0,0,NNP,0,0,,
31,3,0,0,Markets,5,26,31,148,31,148,7,0,0,NNPS,0,0,,
32,3,0,0,Korea,6,34,32,156,32,156,5,0,0,NNP,0,0,,
33,3,0,0,.,7,40,33,162,33,162,1,0,0,.,0,0,,
34,4,1,1,Good,0,0,0,0,0,0,4,0,0,NNP,0,0,,
35,4,1,1,evening,1,5,1,5,1,5,7,0,0,NN,0,0,,
36,4,1,1,.,2,13,2,13,2,13,1,0,0,.,0,0,,
37,5,1,1,This,0,0,3,15,3,15,4,0,0,DT,0,0,,
38,5,1,1,is,1,5,4,20,4,20,2,0,0,VBZ,0,0,,
39,5,1,1,SY,2,8,5,23,5,23,2,0,0,NNP,0,0,,
40,5,1,1,Chung,3,11,6,26,6,26,5,0,0,NNP,0,0,,
41,5,1,1,",",4,17,7,32,7,32,1,0,0,",",0,0,,
42,5,1,1,the,5,19,8,34,8,34,3,0,0,DT,0,0,,
43,5,1,1,Korea,6,23,9,38,9,38,5,0,0,NNP,0,0,,
44,5,1,1,auto,7,29,10,44,10,44,4,0,0,NN,0,0,,
45,5,1,1,analyst,8,34,11,49,11,49,7,0,0,NN,0,0,,
46,5,1,1,from,9,42,12,57,12,57,4,0,0,IN,0,0,,
47,5,1,1,Daiwa,10,47,13,62,13,62,5,0,0,NNP,0,0,,
48,5,1,1,Capital,11,53,14,68,14,68,7,0,0,NNP,0,0,,
49,5,1,1,Markets,12,61,15,76,15,76,7,0,0,NNPS,0,0,,
50,5,1,1,.,13,69,16,84,16,84,1,0,0,.,0,0,,
51,6,1,1,Basically,0,0,17,86,17,86,9,0,0,RB,0,0,,
