0,1391148,MANAGEMENT DISCUSSION SECTION,0,0,,,,,,,,,
1,1391148,MANAGEMENT DISCUSSION SECTION,1,1,,,,,,,,,
2,1391148,MANAGEMENT DISCUSSION SECTION,2,2,,,,,,,,,
3,1391148,Q&A,1,3,,,,,,,,q,
4,1391148,Q&A,0,4,,,,,,,,,
5,1391148,Q&A,,5,,,,,,,,q,
6,1391148,Q&A,,6,,,,,,,,a,
7,1391148,Q&A,,7,,,,,,,,q,
8,1391148,Q&A,,8,,,,,,,,a,
9,1391148,Q&A,,9,,,,,,,,q,
10,1391148,Q&A,,10,,,,,,,,a,
11,1391148,Q&A,,11,,,,,,,,q,
12,1391148,Q&A,,12,,,,,,,,a,
13,1391148,Q&A,,13,,,,,,,,q,
14,1391148,Q&A,,14,,,,,,,,a,
15,1391148,Q&A,,15,,,,,,,,q,
16,1391148,Q&A,,16,,,,,,,,a,
17,1391148,Q&A,,17,,,,,,,,q,
18,1391148,Q&A,,18,,,,,,,,a,
19,1391148,Q&A,,19,,,,,,,,q,
20,1391148,Q&A,,20,,,,,,,,a,
21,1391148,Q&A,,21,,,,,,,,q,
22,1391148,Q&A,0,22,,,,,,,,,
23,1391148,Q&A,,23,,,,,,,,q,
24,1391148,Q&A,,24,,,,,,,,a,
25,1391148,Q&A,,25,,,,,,,,q,
26,1391148,Q&A,,26,,,,,,,,a,
27,1391148,Q&A,,27,,,,,,,,q,
28,1391148,Q&A,,28,,,,,,,,a,
29,1391148,Q&A,,29,,,,,,,,q,
30,1391148,Q&A,0,30,,,,,,,,,
31,1391148,Q&A,,31,,,,,,,,q,
32,1391148,Q&A,,32,,,,,,,,a,
33,1391148,Q&A,,33,,,,,,,,q,
34,1391148,Q&A,,34,,,,,,,,a,
35,1391148,Q&A,,35,,,,,,,,q,
36,1391148,Q&A,,36,,,,,,,,a,
37,1391148,Q&A,,37,,,,,,,,q,
38,1391148,Q&A,,38,,,,,,,,a,
39,1391148,Q&A,,39,,,,,,,,q,
40,1391148,Q&A,0,40,,,,,,,,,
41,1391148,Q&A,1,41,,,,,,,,,
42,1391148,Q&A,3,42,,,,,,,,,
43,1391148,Q&A,3,43,,,,,,,,,
44,1430166,MANAGEMENT DISCUSSION SECTION,4,0,,,,,,,,,
45,1430166,MANAGEMENT DISCUSSION SECTION,5,1,,,,,,,,,
46,1430166,MANAGEMENT DISCUSSION SECTION,6,2,,,,,,,,,
47,1430166,MANAGEMENT DISCUSSION SECTION,5,3,,,,,,,,,
48,1430166,Q&A,4,4,,,,,,,,,
49,1430166,Q&A,7,5,,,,,,,,q,
50,1430166,Q&A,,6,,,,,,,,a,
51,1430166,Q&A,7,7,,,,,,,,q,
52,1430166,Q&A,,8,,,,,,,,a,
53,1430166,Q&A,7,9,,,,,,,,q,
54,1430166,Q&A,,10,,,,,,,,a,
55,1430166,Q&A,7,11,,,,,,,,q,
56,1430166,Q&A,,12,,,,,,,,a,
57,1430166,Q&A,7,13,,,,,,,,q,
58,1430166,Q&A,,14,,,,,,,,a,
59,1430166,Q&A,7,15,,,,,,,,q,
60,1430166,Q&A,,16,,,,,,,,a,
61,1430166,Q&A,7,17,,,,,,,,q,
62,1430166,Q&A,,18,,,,,,,,a,
63,1430166,Q&A,7,19,,,,,,,,q,
64,1430166,Q&A,,20,,,,,,,,a,
65,1430166,Q&A,4,21,,,,,,,,,
66,1430166,Q&A,7,22,,,,,,,,q,
67,1430166,Q&A,,23,,,,,,,,a,
68,1430166,Q&A,4,24,,,,,,,,,
69,1430166,Q&A,,25,,,,,,,,q,
70,1430166,Q&A,,26,,,,,,,,a,
71,1430166,Q&A,,27,,,,,,,,q,
72,1430166,Q&A,,28,,,,,,,,a,
73,1430166,Q&A,,29,,,,,,,,q,
74,1430166,Q&A,,30,,,,,,,,a,
75,1430166,Q&A,,31,,,,,,,,q,
76,1430166,Q&A,4,32,,,,,,,,,
77,1430166,Q&A,8,33,,,,,,,,q,
78,1430166,Q&A,,34,,,,,,,,a,
79,1430166,Q&A,8,35,,,,,,,,q,
80,1430166,Q&A,,36,,,,,,,,a,
81,1430166,Q&A,8,37,,,,,,,,q,
82,1430166,Q&A,4,38,,,,,,,,,
83,1430166,Q&A,5,39,,,,,,,,,
84,1430166,Q&A,6,40,,,,,,,,,
85,1430166,Q&A,4,41,,,,,,,,,
86,1449281,MANAGEMENT DISCUSSION SECTION,9,0,,,,,,,,,
87,1449281,MANAGEMENT DISCUSSION SECTION,10,1,,,,,,,,,
